Network Packets raspberrypi,lo-read/s,eth0-read/s,wlan0-read/s,lo-write/s,eth0-write/s,wlan0-write/s
2024-05-27 21:19:20,0.0,0.0,9.9,0.0,0.0,1.0
2024-05-27 21:19:21,0.0,0.0,2.0,0.0,0.0,0.0
2024-05-27 21:19:22,0.0,0.0,9.0,0.0,0.0,2.0
2024-05-27 21:19:23,0.0,0.0,10.0,0.0,0.0,1.0
2024-05-27 21:19:24,0.0,0.0,2.0,0.0,0.0,0.0
2024-05-27 21:19:25,0.0,0.0,9.9,0.0,0.0,1.0
2024-05-27 21:19:26,0.0,0.0,11.0,0.0,0.0,1.0
2024-05-27 21:19:27,0.0,0.0,3.0,0.0,0.0,0.0
2024-05-27 21:19:28,0.0,0.0,9.0,0.0,0.0,2.0
2024-05-27 21:19:29,0.0,0.0,10.0,0.0,0.0,0.0
2024-05-27 21:19:30,0.0,0.0,2.0,0.0,0.0,0.0
2024-05-27 21:19:31,0.0,0.0,4.0,0.0,0.0,2.0
2024-05-27 21:19:32,0.0,0.0,15.0,0.0,0.0,1.0
2024-05-27 21:19:33,0.0,0.0,2.0,0.0,0.0,0.0
2024-05-27 21:19:34,0.0,0.0,8.9,0.0,0.0,2.0
2024-05-27 21:19:35,0.0,0.0,10.0,0.0,0.0,0.0
2024-05-27 21:19:36,0.0,0.0,2.0,0.0,0.0,0.0
2024-05-27 21:19:37,0.0,0.0,9.0,0.0,0.0,1.0
2024-05-27 21:19:38,0.0,0.0,12.0,0.0,0.0,1.0
2024-05-27 21:19:39,0.0,0.0,2.0,0.0,0.0,0.0
